depth	H2S
0,0005	0,002437450885773
0,003	0,002607000112534
0,0055	0,002663399934769
0,008	0,002727400064468
0,0105	0,003637599945068
0,013	0,005382199764252
0,0155	0,006230000019073
0,018	0,006392000198364
0,0205	0,006417799949646
0,023	0,006682400226593
0,0255	0,007103199958801
0,028	0,007556399822235
0,0305	0,0081702003479
0,033	0,008980199813843
0,0355	0,00977379989624
0,038	0,010682999610901
0,0405	0,011763600349426
0,043	0,012762800216675
0,0455	0,01366759967804
0,048	0,014809200286865
0,0505	0,015838800430298
0,053	0,016643600463867
0,0555	0,017365999221802
0,058	0,01786720085144
0,0605	0,018195600509644
0,063	0,018378999710083
0,0655	0,018201000213623
0,068	0,018365600585938
0,0705	0,018192399978638
0,073	0,018034999847412
0,0755	0,017981000900269
0,078	0,017914400100708
0,0805	0,017787200927734
0,083	0,017638399124146
0,0855	0,017596799850464
0,088	0,017555200576782
0,0905	0,017554599761963
0,093	0,017511999130249
0,0955	0,017525800704956
